ORGID,NODEID,xLon,yLat
2440,377,-73.97791700000,40.71564900000
2431,378,-73.97807690000,40.71569790000
763,379,-74.00169070000,40.71574710000
573,380,-74.00497600000,40.71576000000
439,381,-74.00658710000,40.71577710000
2356,382,-73.97901612690,40.71578693210
2377,383,-73.97879540000,40.71572000000
1515,384,-73.99055810000,40.71580680000
1219,385,-73.99486950000,40.71581530000
1250,386,-73.99445670000,40.71443700000
46,387,-74.01538190000,40.71582850000
1272,388,-73.99415540000,40.71584570000
1203,389,-73.99503250000,40.71587890000
913,390,-73.99932140000,40.71591730000
2242,391,-73.98086920000,40.71594090000
2365,392,-73.97892460000,40.71595700000
1798,393,-73.98670580000,40.71596280000
50,394,-74.01524270000,40.71601030000
389,395,-74.00709590000,40.71601300000
270,396,-74.00881920000,40.71601880000
1466,397,-73.99131150000,40.71603250000
2248,398,-73.98077776510,40.71609961800
2018,399,-73.98361540000,40.71611950000
1439,400,-73.99179200000,40.71617640000
715,401,-74.00255800000,40.71618100000
247,402,-74.00920100000,40.71619300000
867,403,-74.00013800000,40.71620000000
2180,404,-73.98171090000,40.71620080000
1735,405,-73.98752580000,40.71621210000
1125,406,-73.99607230000,40.71624030000
1233,407,-73.99472850000,40.71435350000
1426,408,-73.99201330000,40.71624140000
600,409,-74.00453030000,40.71628690000
2258,410,-73.98066913600,40.71628818400
474,411,-74.00616450000,40.71630290000
170,412,-74.01092320000,40.71630410000
28,413,-74.01646930000,40.71632800000
1228,414,-73.99480410000,40.71634600000
2186,415,-73.98162883700,40.71635633200
1941,416,-73.98453460000,40.71639670000
2091,417,-73.98257090000,40.71644890000
2265,418,-73.98057360000,40.71645400000
2031,419,-73.98342030000,40.71647010000
1675,420,-73.98837840000,40.71647130000
1368,421,-73.99282370000,40.71648550000
432,422,-74.00668230000,40.71653940000
2195,423,-73.98152746490,40.71654846010
1063,424,-73.99698130000,40.71656150000
302,425,-74.00836570000,40.71660180000
2098,426,-73.98248332490,40.71661268310
2047,427,-73.98321700000,40.71664490000
2035,428,-73.98338500000,40.71669580000
2202,429,-73.98143800000,40.71671800000
1618,430,-73.98914540000,40.71671950000
745,431,-74.00207800000,40.71673100000
2104,432,-73.98237951290,40.71680683200
1015,433,-73.99775310000,40.71682560000
2039,434,-73.98331438800,40.71686089890
626,435,-74.00402600000,40.71687100000
1831,436,-73.98619400000,40.71689820000
174,437,-74.01076600000,40.71690680000
825,438,-74.00081800000,40.71693000000
248,439,-74.00910640000,40.71694520000
1965,440,-73.98424270000,40.71695300000
1251,441,-73.99445580000,40.71697450000
2113,442,-73.98228900000,40.71697600000
1561,443,-73.98994650000,40.71697950000
76,444,-74.01430110000,40.71699420000
2048,445,-73.98321080590,40.71705891000
469,446,-74.00625050000,40.71708480000
68,447,-74.01456360000,40.71711300000
1970,448,-73.98416022290,40.71711365300
334,449,-74.00795720000,40.71712170000
959,450,-73.99860470000,40.71712250000
2075,451,-73.98281000000,40.71713700000
1774,452,-73.98704000000,40.71715700000
2055,453,-73.98312450000,40.71718010000
1506,454,-73.99070210000,40.71720860000
940,455,-73.99887930000,40.71724300000
252,456,-74.00905790000,40.71728510000
772,457,-74.00156480000,40.71730030000
1173,458,-73.99543170000,40.71730760000
1978,459,-73.98405664800,40.71731540000
904,460,-73.99944900000,40.71733000000
1476,461,-73.99117180000,40.71735100000
205,462,-74.01009270000,40.71740240000
1712,463,-73.98787900000,40.71740900000
2069,464,-73.98294610000,40.71741020000
1459,465,-73.99141800000,40.71742570000
1985,466,-73.98399920000,40.71742730000
